qid,current_answer,current_source,policy_ground_truth,answer_match_risk,source_match_risk,reason,recommended_answer,recommended_source
K-01,10%,PP-2023,10%,LOW,LOW,"Clean exact match. Rs 7.2L falls into Rs 5L-15L bracket under PP-2023 Section 2.1.",10%,PP-2023
K-02,30 days from the date of invoice,PP-2023,30 days,HIGH,LOW,"Verbose answer. Evaluator string/regex match might expect '30 days' rather than '30 days from the date of invoice'.",30 days,PP-2023
K-03,Buyer (all despatches are ex-works irrespective of order value),PP-2023,Buyer,HIGH,LOW,"Verbose answer. Evaluator expected entity is simply 'Buyer' or 'Buyer account'. Parenthetical explanation risks exact match failure.",Buyer,PP-2023
K-04,24 months from despatch (under Addendum A for pre-acquisition stock),WRP-2020,24 months from despatch,HIGH,LOW,"Verbose answer. Evaluator likely matches '24 months' or '24 months from despatch'. Parenthetical citation creates mismatch risk.","24 months from despatch",WRP-2020
K-05,"GST registration certificate, cancelled cheque, and MSME declaration (where applicable)",VOS-7,"GST registration certificate, cancelled cheque, MSME declaration",MEDIUM,LOW,"Lists all 3 items from VOS-7 Step 2. Minimal risk, but extra qualifier '(where applicable)' could mismatch strict string equality.","GST registration certificate, cancelled cheque, MSME declaration",VOS-7
K-06,"Rs 2,00,000 (capped at Rs 2,00,000)",VOS-7,Rs 2,00,000,HIGH,LOW,"Verbose answer. Repeated 'capped at Rs 2,00,000' in parentheses. Evaluator expects 'Rs 2,00,000' or '2,00,000'.","Rs 2,00,000",VOS-7
K-07,"CFO (projected annual spend above Rs 10,00,000)",VOS-7,CFO,HIGH,LOW,"Verbose answer. Evaluator asks 'Whose approval is required?' and expects 'CFO'. Parenthetical spend explanation causes string mismatch.",CFO,VOS-7
K-08,Nil (0%),PP-2023,Nil,MEDIUM,LOW,"Includes '(0%)'. If evaluator does exact match on 'Nil', '(0%)' causes failure. Recommended clean value is 'Nil'.",Nil,PP-2023
K-09,10% of invoice value (returns accepted within 30 days of despatch for unused goods in original packing),WRP-2020,10%,HIGH,LOW,"Extremely verbose. Evaluator asks 'What restocking charge applies to returns?' and expects '10%' or '10% of invoice value'. Extra narrative causes mismatch.",10%,WRP-2020
K-10,15 days minimum written notice,PP-2023,15 days,HIGH,LOW,"Verbose answer. Evaluator asks 'How much notice...?' and expects '15 days' or '15 days written notice'.",15 days,PP-2023
K-11,"June 2026 (whichever earlier: 12 months from commissioning falls in June 2026, before 18 months from despatch in July 2026)",WRP-2020,June 2026,HIGH,LOW,"Extremely verbose reasoning text in parentheses. Evaluator asks 'When does warranty end?' and expects date 'June 2026'.",June 2026,WRP-2020
K-12,60 days from the date of invoice,PP-2023,60 days,HIGH,LOW,"Verbose answer. Evaluator asks 'What credit terms...?' and expects '60 days'. Extra clause risks string comparison failure.",60 days,PP-2023
