qid,answer,governing_source,confidence,status,rule_id,evidence_text,resolution_notes,why_this_source,why_other_sources_rejected
K-01,10%,PP-2023,1.0,ANSWERED,PP-2023-DISCOUNT,"Single order value: Below Rs 5,00,000 -> Nil; Rs 5,00,000 - Rs 15,00,000 -> 10%; Above Rs 15,00,000 -> 14%",Evaluated via rule PP-2023-DISCOUNT from 2. Distributor discounts (page 1),PP-2023 took effect on 1 October 2023 and superseded PP-2019 in full for pricing_discount.,PP-2019 was superseded in full on 1 October 2023 and does not govern transactions on/after that date.
K-02,30 days from the date of invoice,PP-2023,1.0,ANSWERED,PP-2023-CREDIT,3.1 Standard credit is 30 days from the date of invoice. Platinum-tier distributors are extended 60 days.,Evaluated via rule PP-2023-CREDIT from 3. Credit terms (page 1),PP-2023 took effect on 1 October 2023 and superseded PP-2019 in full for credit_terms.,PP-2019 was superseded in full on 1 October 2023 and does not govern transactions on/after that date.
K-03,Buyer,PP-2023,1.0,ANSWERED,PP-2023-FREIGHT,"4.1 All despatches are ex-works. Freight, transit insurance and unloading are to the buyer's account irrespective of order value.",Evaluated via rule PP-2023-FREIGHT from 4. Freight (page 1),PP-2023 took effect on 1 October 2023 and superseded PP-2019 in full for freight.,PP-2019 was superseded in full on 1 October 2023 and does not govern transactions on/after that date.
K-04,24 months from despatch,WRP-2020,1.0,ANSWERED,WRP-2020-WARRANTY-FLOWTECH,Addendum A: warranty on FlowTech-branded products already committed to the market will continue to be honoured at 24 months from despatch until existing stock is exhausted.,Evaluated via rule WRP-2020-WARRANTY-FLOWTECH from Addendum A - FlowTech Products (page 2),WRP-2020 Addendum A explicitly governs warranty for FlowTech products supplied from pre-acquisition stock.,"PP-2019 and PP-2023 govern pricing and commercial distributor terms, not warranty or returns."
K-05,"GST registration certificate, cancelled cheque, and MSME declaration (where applicable)",VOS-7,1.0,ANSWERED,VOS-7-DOCS-TRIAL,"Step 2: Collect GST registration certificate, cancelled cheque, and MSME declaration (where applicable). Step 6: Trial purchase order, capped at Rs 2,00,000.",Evaluated via rule VOS-7-DOCS-TRIAL from 2. Procedure (page 1),"VOS-7 is the sole standard operating procedure governing vendor onboarding, documents, trial POs, and approvals.","PP-2019, PP-2023, and WRP-2020 govern distributor pricing and warranty, not vendor onboarding."
K-06,"Rs 2,00,000",VOS-7,1.0,ANSWERED,VOS-7-DOCS-TRIAL,"Step 2: Collect GST registration certificate, cancelled cheque, and MSME declaration (where applicable). Step 6: Trial purchase order, capped at Rs 2,00,000.",Evaluated via rule VOS-7-DOCS-TRIAL from 2. Procedure (page 1),"VOS-7 is the sole standard operating procedure governing vendor onboarding, documents, trial POs, and approvals.","PP-2019, PP-2023, and WRP-2020 govern distributor pricing and warranty, not vendor onboarding."
K-07,CFO,VOS-7,1.0,ANSWERED,VOS-7-APPROVALS,"Projected annual spend above Rs 10,00,000 -> CFO; Direct-material vendor (any value) -> Plant Head + QA; All other vendors -> GM Procurement",Evaluated via rule VOS-7-APPROVALS from 3. Approval matrix (page 1),"VOS-7 is the sole standard operating procedure governing vendor onboarding, documents, trial POs, and approvals.","PP-2019, PP-2023, and WRP-2020 govern distributor pricing and warranty, not vendor onboarding."
K-08,Nil,PP-2023,1.0,ANSWERED,PP-2023-DISCOUNT,"Single order value: Below Rs 5,00,000 -> Nil; Rs 5,00,000 - Rs 15,00,000 -> 10%; Above Rs 15,00,000 -> 14%",Evaluated via rule PP-2023-DISCOUNT from 2. Distributor discounts (page 1),PP-2023 took effect on 1 October 2023 and superseded PP-2019 in full for pricing_discount.,PP-2019 was superseded in full on 1 October 2023 and does not govern transactions on/after that date.
K-09,10% of invoice value,WRP-2020,1.0,ANSWERED,WRP-2020-RETURNS,3.1 Unused goods in original packing may be returned within 30 days of despatch against a restocking charge of 10% of invoice value. Made-to-order items are not returnable.,Evaluated via rule WRP-2020-RETURNS from 3. Returns (page 1),WRP-2020 Section 3 is the sole authority governing product returns and restocking charges.,"PP-2019 and PP-2023 govern pricing and commercial distributor terms, not warranty or returns."
K-10,15 days written notice,PP-2023,1.0,ANSWERED,PP-2023-NOTICE,5.1 DRI will provide a minimum of 15 days written notice before any revision to the list price.,Evaluated via rule PP-2023-NOTICE from 5. Price revisions (page 1),PP-2023 took effect on 1 October 2023 and superseded PP-2019 in full for price_revision_notice.,PP-2019 was superseded in full on 1 October 2023 and does not govern transactions on/after that date.
K-11,June 2026,WRP-2020,1.0,ANSWERED,WRP-2020-WARRANTY-STD,"1.1 All products are warranted against manufacturing defects for 18 months from the date of despatch or 12 months from the date of commissioning, whichever is earlier.",Evaluated via rule WRP-2020-WARRANTY-STD from 1. Warranty (page 1),WRP-2020 Section 1 governs standard DRI warranty durations and commissioning rules.,"PP-2019 and PP-2023 govern pricing and commercial distributor terms, not warranty or returns."
K-12,60 days from the date of invoice,PP-2023,1.0,ANSWERED,PP-2023-CREDIT,3.1 Standard credit is 30 days from the date of invoice. Platinum-tier distributors are extended 60 days.,Evaluated via rule PP-2023-CREDIT from 3. Credit terms (page 1),PP-2023 took effect on 1 October 2023 and superseded PP-2019 in full for credit_terms.,PP-2019 was superseded in full on 1 October 2023 and does not govern transactions on/after that date.
