qid,question
K-01,"A distributor places a single order of Rs 7,20,000 in March 2024. What discount applies?"
K-02,What are the standard credit terms for a Gold-tier distributor today?
K-03,"Who bears freight on a Rs 3,00,000 distributor order shipped in February 2024?"
K-04,What warranty applies to a FlowTech-branded pump supplied from pre-acquisition stock?
K-05,Which documents must a new vendor submit at onboarding?
K-06,What is the maximum value of a trial purchase order for a newly onboarded vendor?
K-07,"A new vendor's projected annual spend is Rs 14,00,000. Whose approval is required?"
K-08,"What discount applies to a single order of Rs 4,20,000 placed in March 2024?"
K-09,What restocking charge applies to returns?
K-10,How much notice must DRI give before revising list prices today?
K-11,A DRI pump is despatched in January 2025 and commissioned in June 2025. When does warranty end?
K-12,What credit terms does a Platinum-tier distributor receive?
